s (1,1) 270
s (2,1) 696
s (3,1) 645
s (4,1) 942
s (5,1) 569
s (6,1) 274
s (7,1) 601
s (8,1) 515
s (9,1) 925
s (10,1) 274
s (11,1) 967
s (12,1) 172
s (13,1) 528
s (14,1) 510
s (15,1) 113
s (16,1) 647
s (17,1) 26
s (18,1) 901
s (19,1) 331
s (20,1) 880
s (21,1) 882
s (22,1) 836
s (23,1) 602
s (24,1) 223
s (25,1) 84
s (26,1) 156
s (27,1) 371
s (28,1) 833
s (29,1) 540
s (30,1) 727
s (31,1) 950
s (32,1) 396
s (33,1) 419
s (34,1) 5
s (35,1) 88
s (36,1) 644
s (37,1) 80
s (38,1) 935
s (39,1) 624
s (40,1) 914
s (41,1) 715
s (42,1) 615
s (43,1) 617
s (44,1) 999
s (45,1) 218
s (46,1) 42
s (47,1) 646
s (48,1) 21
s (49,1) 630
s (50,1) 907
s (51,1) 645
s (52,1) 334
s (53,1) 504
s (54,1) 158
s (55,1) 898
s (56,1) 676
s (57,1) 981
s (58,1) 413
s (59,1) 68
s (60,1) 676
s (61,1) 721
s (62,1) 178
s (63,1) 36
s (64,1) 159
s (65,1) 480
s (66,1) 538
s (67,1) 513
s (68,1) 831
s (69,1) 335
s (70,1) 730
s (71,1) 769
s (72,1) 994
s (73,1) 216
s (74,1) 81
s (75,1) 898
s (76,1) 838
s (77,1) 876
s (78,1) 706
s (79,1) 623
s (80,1) 314
s (81,1) 923
s (82,1) 812
s (83,1) 814
s (84,1) 276
s (85,1) 768
s (86,1) 103
s (87,1) 814
s (88,1) 524
s (89,1) 912
s (90,1) 493
s (91,1) 693
s (92,1) 244
s (93,1) 672
s (94,1) 75
s (95,1) 911
s (96,1) 58
s (97,1) 38
s (98,1) 131
s (99,1) 84
s (100,1) 4
s (101,1) 200
s (102,1) 992
s (103,1) 472
s (104,1) 991
s (105,1) 233
s (106,1) 308
s (107,1) 758
s (108,1) 228
s (109,1) 258
s (110,1) 905
s (111,1) 678
s (112,1) 24
s (113,1) 565
s (114,1) 994
s (115,1) 627
s (116,1) 622
s (117,1) 268
s (118,1) 566
s (119,1) 130
s (120,1) 619
s (121,1) 320
s (122,1) 737
s (123,1) 644
s (124,1) 981
s (125,1) 110
s (126,1) 502
s (127,1) 988
s (128,1) 449
s (129,1) 276
s (130,1) 620
s (131,1) 12
s (132,1) 831
s (133,1) 801
s (134,1) 476
s (135,1) 914
s (136,1) 805
s (137,1) 178
s (138,1) 717
s (139,1) 360
s (140,1) 541
s (141,1) 656
s (142,1) 628
s (143,1) 625
s (144,1) 947
s (145,1) 767
s (146,1) 667
s (147,1) 799
s (148,1) 72
s (149,1) 498
s (150,1) 132
s (151,1) 738
s (152,1) 380
s (153,1) 442
s (154,1) 99
s (155,1) 915
s (156,1) 387
s (157,1) 301
s (158,1) 165
s (159,1) 326
s (160,1) 575
s (161,1) 723
s (162,1) 137
s (163,1) 870
s (164,1) 93
s (165,1) 132
s (166,1) 858
s (167,1) 842
s (168,1) 351
s (169,1) 166
s (170,1) 542
s (171,1) 501
s (172,1) 901
s (173,1) 330
s (174,1) 742
s (175,1) 532
s (176,1) 785
s (177,1) 581
s (178,1) 313
s (179,1) 304
s (180,1) 534
s (181,1) 981
s (182,1) 199
s (183,1) 723
s (184,1) 404
s (185,1) 665
s (186,1) 856
s (187,1) 783
s (188,1) 587
s (189,1) 387
s (190,1) 7
s (191,1) 642
s (192,1) 248
s (193,1) 426
s (194,1) 806
s (195,1) 206
s (196,1) 217
s (197,1) 583
s (198,1) 631
s (199,1) 829
s (200,1) 185
s (201,1) 113
s (202,1) 844
s (203,1) 305
s (204,1) 385
s (205,1) 948
s (206,1) 899
s (207,1) 857
s (208,1) 708
s (209,1) 980
s (210,1) 978
s (211,1) 64
s (212,1) 220
s (213,1) 928
s (214,1) 859
s (215,1) 248
s (216,1) 806
s (217,1) 154
s (218,1) 956
s (219,1) 788
s (220,1) 903
s (221,1) 211
s (222,1) 29
s (223,1) 802
s (224,1) 362
s (225,1) 986
s (226,1) 479
s (227,1) 495
s (228,1) 215
s (229,1) 421
s (230,1) 614
s (231,1) 485
s (232,1) 129
s (233,1) 864
s (234,1) 242
s (235,1) 896
s (236,1) 492
s (237,1) 82
s (238,1) 56
s (239,1) 134
s (240,1) 616
s (241,1) 792
s (242,1) 320
s (243,1) 452
s (244,1) 943
s (245,1) 889
s (246,1) 202
s (247,1) 21
s (248,1) 631
s (249,1) 176
s (250,1) 306
s (251,1) 141
s (252,1) 805
s (253,1) 64
s (254,1) 309
s (255,1) 244
s (256,1) 631
s (257,1) 18
s (258,1) 519
s (259,1) 975
s (260,1) 915
s (261,1) 409
s (262,1) 923
s (263,1) 984
s (264,1) 753
s (265,1) 7
s (266,1) 870
